inventory_id,extension,status,method,conversion_quality,raw_output_path_ignored,sanitized_note
SRC-000493,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000493.txt,docs/00-source-notes/src-000493.md
SRC-000494,,not-convertible,metadata-only,not-applicable,,
SRC-000495,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000495.txt,docs/00-source-notes/src-000495.md
SRC-000496,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000496.txt,docs/00-source-notes/src-000496.md
SRC-000497,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000497.txt,docs/00-source-notes/src-000497.md
SRC-000498,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000498.txt,docs/00-source-notes/src-000498.md
SRC-000499,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000499.txt,docs/00-source-notes/src-000499.md
SRC-000500,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000500.txt,docs/00-source-notes/src-000500.md
SRC-000501,,not-convertible,metadata-only,not-applicable,,
SRC-000502,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000502.txt,docs/00-source-notes/src-000502.md
SRC-000503,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000503.txt,docs/00-source-notes/src-000503.md
SRC-000504,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000504.txt,docs/00-source-notes/src-000504.md
SRC-000505,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000505.txt,docs/00-source-notes/src-000505.md
SRC-000506,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000506.txt,docs/00-source-notes/src-000506.md
SRC-000507,.docx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000507.txt,docs/00-source-notes/src-000507.md
SRC-000508,.docx,skipped-temporary-file,metadata-only,not-applicable,,docs/00-source-notes/src-000508.md
SRC-000509,,not-convertible,metadata-only,not-applicable,,
SRC-000510,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000510.txt,docs/00-source-notes/src-000510.md
SRC-000511,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000511.txt,docs/00-source-notes/src-000511.md
SRC-000512,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000512.txt,docs/00-source-notes/src-000512.md
SRC-000513,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000513.txt,docs/00-source-notes/src-000513.md
SRC-000514,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000514.txt,docs/00-source-notes/src-000514.md
SRC-000515,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000515.txt,docs/00-source-notes/src-000515.md
SRC-000516,,not-convertible,metadata-only,not-applicable,,
SRC-000517,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000517.txt,docs/00-source-notes/src-000517.md
SRC-000518,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000518.txt,docs/00-source-notes/src-000518.md
SRC-000519,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000519.txt,docs/00-source-notes/src-000519.md
SRC-000520,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000520.txt,docs/00-source-notes/src-000520.md
SRC-000521,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000521.txt,docs/00-source-notes/src-000521.md
SRC-000522,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000522.txt,docs/00-source-notes/src-000522.md
SRC-000523,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000523.txt,docs/00-source-notes/src-000523.md
SRC-000524,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000524.txt,docs/00-source-notes/src-000524.md
SRC-000525,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000525.txt,docs/00-source-notes/src-000525.md
SRC-000526,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000526.txt,docs/00-source-notes/src-000526.md
SRC-000527,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000527.txt,docs/00-source-notes/src-000527.md
SRC-000528,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000528.txt,docs/00-source-notes/src-000528.md
SRC-000529,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000529.txt,docs/00-source-notes/src-000529.md
SRC-000530,,not-convertible,metadata-only,not-applicable,,
SRC-000531,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000531.txt,docs/00-source-notes/src-000531.md
SRC-000532,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000532.txt,docs/00-source-notes/src-000532.md
SRC-000533,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000533.txt,docs/00-source-notes/src-000533.md
SRC-000534,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000534.txt,docs/00-source-notes/src-000534.md
SRC-000535,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000535.txt,docs/00-source-notes/src-000535.md
SRC-000536,.pptx,converted-redacted,office-open-xml,partial-text-extracted,.work/extracted/SRC-000536.txt,docs/00-source-notes/src-000536.md
SRC-000537,,not-convertible,metadata-only,not-applicable,,
SRC-000538,.pdf,converted-redacted,pdf-byte-string-metadata,partial-text-extracted,.work/extracted/SRC-000538.txt,docs/00-source-notes/src-000538.md
